01-01-2021;00 ;250,75
01-01-2021;01 ;244,72
01-01-2021;02 ;241
01-01-2021;03 ;238,39
01-01-2021;04 ;238,49
01-01-2021;05 ;241,81
01-01-2021;06 ;245,63
01-01-2021;07 ;250,55
01-01-2021;08 ;250,25
01-01-2021;09 ;251,96
01-01-2021;10 ;257,59
01-01-2021;11 ;260,5
01-01-2021;12 ;262,61
01-01-2021;13 ;267,03
01-01-2021;14 ;274,37
01-01-2021;15 ;287,54
01-01-2021;16 ;304,02
01-01-2021;17 ;303,42
01-01-2021;18 ;289,65
01-01-2021;19 ;283,92
01-01-2021;20 ;274,57
01-01-2021;21 ;271,15
01-01-2021;22 ;265,73
01-01-2021;23 ;257,69
02-01-2021;00 ;257,18
02-01-2021;01 ;250,35
02-01-2021;02 ;248,64
02-01-2021;03 ;247,84
02-01-2021;04 ;248,44
02-01-2021;05 ;250,45
02-01-2021;06 ;257,49
02-01-2021;07 ;263,21
02-01-2021;08 ;281,61
02-01-2021;09 ;277,89
02-01-2021;10 ;289,75
02-01-2021;11 ;299,09
02-01-2021;12 ;287,64
02-01-2021;13 ;288,64
02-01-2021;14 ;290,35
02-01-2021;15 ;399,39
02-01-2021;16 ;591,76
02-01-2021;17 ;608,14
02-01-2021;18 ;601,4
02-01-2021;19 ;300,9
02-01-2021;20 ;275,17
02-01-2021;21 ;270,95
02-01-2021;22 ;269,85
02-01-2021;23 ;260,7
03-01-2021;00 ;253,97
03-01-2021;01 ;247,13
03-01-2021;02 ;239,8
03-01-2021;03 ;236,88
03-01-2021;04 ;236,08
03-01-2021;05 ;239,7
03-01-2021;06 ;241,71
03-01-2021;07 ;249,24
03-01-2021;08 ;250,95
03-01-2021;09 ;257,79
03-01-2021;10 ;261,31
03-01-2021;11 ;262,01
03-01-2021;12 ;260
03-01-2021;13 ;259,6
03-01-2021;14 ;261,51
03-01-2021;15 ;266,33
03-01-2021;16 ;281,91
03-01-2021;17 ;286,73
03-01-2021;18 ;283,11
03-01-2021;19 ;280,6
03-01-2021;20 ;276,98
03-01-2021;21 ;271,76
03-01-2021;22 ;263,11
03-01-2021;23 ;250,45
04-01-2021;00 ;247,84
04-01-2021;01 ;241,71
04-01-2021;02 ;240
04-01-2021;03 ;241,51
04-01-2021;04 ;247,03
04-01-2021;05 ;259,7
04-01-2021;06 ;283,52
04-01-2021;07 ;310,05
04-01-2021;08 ;494,47
04-01-2021;09 ;502,71
04-01-2021;10 ;556,78
04-01-2021;11 ;568,14
04-01-2021;12 ;523,31
04-01-2021;13 ;568,14
04-01-2021;14 ;582,81
04-01-2021;15 ;583,21
04-01-2021;16 ;608,04
04-01-2021;17 ;655,47
04-01-2021;18 ;603,51
04-01-2021;19 ;540
04-01-2021;20 ;378,69
04-01-2021;21 ;349,95
04-01-2021;22 ;311,05
